Country,Year,Electricity_Consumption
New Zealand,2019,40589.8158
New Zealand,2020,40226.0085
New Zealand,2021,40369.7907
New Zealand,2022,40201.8295
New Zealand,2023,40535.6421
New Zealand,2024,40833.152
New Zealand,2025,39970.2912
New Zealand,2026,6034.048
Norway,2010,120546.0
Norway,2011,114847.998
Norway,2012,118606.00200000001
Norway,2013,119617.999
Norway,2014,117155.0
Norway,2015,120177.999
Norway,2016,122026.003
Norway,2017,123380.003
Norway,2018,127586.344
Norway,2019,126066.154
Norway,2020,126474.4721
Norway,2021,132020.6082
Norway,2022,125289.34700000001
Norway,2023,127332.055
Norway,2024,129628.8391
Norway,2025,129527.98060000001
Norway,2026,28487.4478
OECD Americas,2010,4678959.722
OECD Americas,2011,4701999.909
OECD Americas,2012,4651967.814
OECD Americas,2013,4715098.381
OECD Americas,2014,4809217.036
OECD Americas,2015,4834202.945
OECD Americas,2016,4873639.0035
OECD Americas,2017,4832924.5841
OECD Americas,2018,5019729.8499
OECD Americas,2019,4951486.8813000005
OECD Americas,2020,4880532.2591
OECD Americas,2021,4966348.3505
OECD Americas,2022,5163029.3867
OECD Americas,2023,5070448.3289
OECD Americas,2024,5230763.335
OECD Americas,2025,5383900.7587
OECD Americas,2026,908912.5081
OECD Asia Oceania,2010,1774212.405
OECD Asia Oceania,2011,1763966.184
OECD Asia Oceania,2012,1777373.727
OECD Asia Oceania,2013,1758697.012
OECD Asia Oceania,2014,1770125.029
OECD Asia Oceania,2015,1761787.1792000001
OECD Asia Oceania,2016,1765117.9942
OECD Asia Oceania,2017,1774765.5864
OECD Asia Oceania,2018,1800019.2068
OECD Asia Oceania,2019,1764640.8069
OECD Asia Oceania,2020,1728421.949
OECD Asia Oceania,2021,1780633.9371
OECD Asia Oceania,2022,1802062.7633
OECD Asia Oceania,2023,1750269.1447
OECD Asia Oceania,2024,1808185.0206
OECD Asia Oceania,2025,1818581.2091
OECD Asia Oceania,2026,323128.35719999997
OECD Europe,2010,3221385.032
OECD Europe,2011,3175095.913
OECD Europe,2012,3189089.878
OECD Europe,2013,3171918.363
OECD Europe,2014,3111507.035
OECD Europe,2015,3168881.865
OECD Europe,2016,3206609.5141
OECD Europe,2017,3241832.7543
OECD Europe,2018,3257020.4403
OECD Europe,2019,3223679.7675
OECD Europe,2020,3123330.344
OECD Europe,2021,3263708.9514
OECD Europe,2022,3152335.7155
OECD Europe,2023,3095089.2981000002
OECD Europe,2024,3164560.3945999998
OECD Europe,2025,3202876.3389999997
OECD Europe,2026,593527.2919000001
OECD Total,2010,9674557.159
OECD Total,2011,9641062.006
OECD Total,2012,9618431.419
OECD Total,2013,9645713.756
OECD Total,2014,9690849.1
OECD Total,2015,9764871.9892
OECD Total,2016,9845366.3978
OECD Total,2017,9849522.7425
OECD Total,2018,10078226.7192
OECD Total,2019,9925742.195799999
OECD Total,2020,9719233.0336
OECD Total,2021,10010691.2394
OECD Total,2022,10117427.865699999
OECD Total,2023,9915806.772
OECD Total,2024,10203508.7501
OECD Total,2025,10405358.3069
OECD Total,2026,1825568.1572
Poland,2010,129424.001
Poland,2011,132388.175
Poland,2012,133278.002
Poland,2013,134481.001
Poland,2014,136308.001
Poland,2015,138926.999
Poland,2016,143762.198
Poland,2017,144375.8008
Poland,2018,151195.5692
Poland,2019,151799.7555
Poland,2020,147994.5083
Poland,2021,157060.1469
Poland,2022,151096.6656
Poland,2023,146025.065
Poland,2024,151653.6371
Poland,2025,157537.9194
Poland,2026,28621.624499999998
Portugal,2010,50613.301
Portugal,2011,49114.051999999996
Portugal,2012,47111.704
Portugal,2013,46273.902
Portugal,2014,46140.109
Portugal,2015,46852.182
Portugal,2016,47355.711
Portugal,2017,47660.3002
Portugal,2018,48897.03
Portugal,2019,48809.9999
Portugal,2020,47245.9988
Portugal,2021,48138.8263
Portugal,2022,49471.335999999996
Portugal,2023,50232.191999999995
Portugal,2024,51357.287
Portugal,2025,53801.1056
Portugal,2026,10019.0728
Republic of Turkiye,2010,172050.001
Republic of Turkiye,2011,186099.99899999998
Republic of Turkiye,2012,194922.999
Republic of Turkiye,2013,198044.998
Republic of Turkiye,2014,207375.001
Republic of Turkiye,2015,217313.0
Republic of Turkiye,2016,231855.1131
Republic of Turkiye,2017,249022.1124
Republic of Turkiye,2018,257280.0668
Republic of Turkiye,2019,257273.0912
Republic of Turkiye,2020,262702.2879
Republic of Turkiye,2021,286692.0643
Republic of Turkiye,2022,286578.8867
Republic of Turkiye,2023,289385.2384
Republic of Turkiye,2024,308675.1808
Republic of Turkiye,2025,316949.7522
Republic of Turkiye,2026,53258.01179999999
Slovak Republic,2010,25079.999
Slovak Republic,2011,25796.22
Slovak Republic,2012,24899.0
Slovak Republic,2013,26051.0
Slovak Republic,2014,25098.999
Slovak Republic,2015,25374.0
Slovak Republic,2016,25982.003
Slovak Republic,2017,27033.1758
Slovak Republic,2018,26906.0434
Slovak Republic,2019,26051.060400000002
Slovak Republic,2020,24712.2976
Slovak Republic,2021,26472.6175
Slovak Republic,2022,23992.182
Slovak Republic,2023,22151.0
Slovak Republic,2024,22141.878
Slovak Republic,2025,22272.7619
Slovak Republic,2026,4324.3368
Slovenia,2010,12062.8
Slovenia,2011,12611.964
Slovenia,2012,12539.63
Slovenia,2013,12587.856
Slovenia,2014,12559.053
Slovenia,2015,12894.166
Slovenia,2016,13121.51
Slovenia,2017,13622.630000000001
Slovenia,2018,13807.675
Slovenia,2019,13775.681
Slovenia,2020,13046.905200000001
Slovenia,2021,13550.0489
Slovenia,2022,13127.7089
Slovenia,2023,12456.0201
Slovenia,2024,12455.2382
Slovenia,2025,12578.2482
Slovenia,2026,2376.8792999999996
Spain,2010,250760.001
Spain,2011,247945.001
Spain,2012,244677.002
Spain,2013,236045.999
Spain,2014,233379.001
Spain,2015,238589.0
Spain,2016,240471.99599999998
Spain,2017,246657.0
Spain,2018,246133.9999
Spain,2019,242843.3261
Spain,2020,227619.584
Spain,2021,235109.439
Spain,2022,232148.8638
Spain,2023,230499.1419
Spain,2024,236642.90409999999
Spain,2025,245931.3924
Spain,2026,41934.0799
Sweden,2010,136633.618
Sweden,2011,128961.02
Sweden,2012,132116.026
Sweden,2013,129341.044
Sweden,2014,126845.0
Sweden,2015,129275.0
Sweden,2016,132056.5626
Sweden,2017,132003.0
Sweden,2018,131859.0
Sweden,2019,128862.0001
Sweden,2020,127539.0
Sweden,2021,132360.0001
Sweden,2022,126931.0002
Sweden,2023,124955.9999
Sweden,2024,126345.6301
Sweden,2025,123334.5424
Sweden,2026,27552.3637
Switzerland,2010,59785.0
Switzerland,2011,58599.001000000004
Switzerland,2012,58972.002
Switzerland,2013,59322.998
Switzerland,2014,57465.998999999996
Switzerland,2015,58246.998
Switzerland,2016,58238.891
Switzerland,2017,58486.109899999996
Switzerland,2018,57647.222
Switzerland,2019,57197.203
Switzerland,2020,55713.8862
Switzerland,2021,58113.8889
Switzerland,2022,57030.556
Switzerland,2023,56711.111000000004
Switzerland,2024,57513.8869
Switzerland,2025,58195.419200000004
Switzerland,2026,11019.4849
United Kingdom,2010,337510.972
United Kingdom,2011,325919.902
United Kingdom,2012,325481.251
United Kingdom,2013,324385.418
United Kingdom,2014,310805.801
United Kingdom,2015,316235.03
United Kingdom,2016,309310.6472
United Kingdom,2017,304914.9889
United Kingdom,2018,308868.106
United Kingdom,2019,304217.8761
United Kingdom,2020,294303.235
United Kingdom,2021,298861.3419
United Kingdom,2022,279039.359
United Kingdom,2023,277998.633
United Kingdom,2024,278704.8288
United Kingdom,2025,280406.4286
United Kingdom,2026,50656.6367
United States,2010,3894367.001
United States,2011,3885019.0
United States,2012,3830933.002
United States,2013,3871734.999
United States,2014,3895216.002
United States,2015,3895365.002
United States,2016,3922010.62
United States,2017,3886956.079
United States,2018,4042840.013
United States,2019,3964472.6861
United States,2020,3903674.4171
United States,2021,3956919.174
United States,2022,4126373.054
United States,2023,4023172.6129
United States,2024,4167072.5452
United States,2025,4295773.6284
United States,2026,719290.7479000001
